Source;Lyrics File;Song ID;Song Title;File Path;IsMatch;Artist;Album;Score;Status;Has Variants;Variant Rank
qmusic;023 - Mına bunı pek begenem_;qiinPcqwvwSNW5sQ1IYTcK;Dilâra Mahmudova-Men seni begenem;scripts/lyrics_qmusic/023 - Mına bunı pek begenem_.txt;N;Dilâra Mahmudova;Dilâra Mahmudova;0.46;LOW;NO;
qmusic;002 - От Татлы Ногая;gR345TVKHi7roitNvyzVN7;Salaçıq-Плановая;scripts/lyrics_qmusic/002 - От Татлы Ногая.txt;N;Salaçıq;Salaçıq;0.46;LOW;NO;
qmusic;016 - Эдип Асанов;FnP5SVh1MLLwRyjS2qI6J9;Arsen Asanov-Quş;scripts/lyrics_qmusic/016 - Эдип Асанов.txt;N;Arsen Asanov;Arsen Asanov;0.53;LOW;NO;
qmusic;039 - KELİN TÜRKÜSİ;DPx2oBMD6tmz6QCoUYqYTJ;Fevzi Aliyev-Kelin haytarması;scripts/lyrics_qmusic/039 - KELİN TÜRKÜSİ.txt;N;Destan (Fevzi Aliyev);Destan (Fevzi Aliyev);0.44;LOW;NO;
qmusic;006 - Ай нуры пенджеремде, хаялим сени;puXVQymvrrmPfEeCmvyXaP;Zarema Halitova-Sevem seni;scripts/lyrics_qmusic/006 - Ай нуры пенджеремде, хаялим сени.txt;N;Zarema Khalitova;Zarema Khalitova;0.5;LOW;NO;
qmusic;007 - ZAREMA - ''HOP'' SÖYLE;cRkRLPhBOnDcw9ckuBJ26x;Zarema-Atak (DJ Senol remix);scripts/lyrics_qmusic/007 - ZAREMA - ''HOP'' SÖYLE.txt;N;Zarema;Zarema;0.59;LOW;NO;
sattarov;ХАЛИДЕ;D2tdzD1fiyJG4SLAY0Nrty;Hayat-Linda;scripts/lyrics_sattarov/ХАЛИДЕ.txt;N;Hayat;Hayat;0.62;MEDIUM;YES;1/2
sattarov;Шаматалы келин;JLXkEv4VT4edsNYSgvum1J;FaTima-Aydı kel;scripts/lyrics_sattarov/Шаматалы келин.txt;N;FaTima;FaTima;0.64;MEDIUM;YES;1/2
sattarov;Эништем;83DWXfdWNLZjFO81232pdW;Faeton-İsterim;scripts/lyrics_sattarov/Эништем.txt;N;Faeton;Faeton;0.6;MEDIUM;NO;
sattarov;Шалашим;GAd50aJ7vQWIqI94G25tFH;ILACIM;scripts/lyrics_sattarov/Шалашим.txt;N;Nazife Reizova;Nazife Reizova ve Emine Ziadin;0.62;MEDIUM;NO;
sattarov;Шинанай;h41A8a7tzwSz5hYcg6k11K;Destan-Şinanay;scripts/lyrics_sattarov/Шинанай.txt;N;Destan (Fevzi Aliyev);Destan (Fevzi Aliyev);0.6;MEDIUM;NO;
