Source,Lyrics File,Song ID,Song Title,Artist,Album,Score,Status,Has Variants,Variant Rank,File Path
crh_lt,Unknown Artist (Crimean Tatar) - Oneki de ordek,LZ7jNSoUvwQa9nAUvyUHfZ,Nariman Balich - Quslar Avada (feat. Asiye Saale) ,[Unknown Artist],[Unknown Album],0.49,LOW,YES,1/2,scripts/lyrics_crh_lt/Unknown Artist (Crimean Tatar) - Oneki de ordek.txt
crh_lt,Anthems of the Eastern Bloc and Yugoslavia - Anthem of the Crimean Autonomous SSR - Къызыл Аскер Маршы (Qızıl Asker Marşı),LZ7jNSoUvwQa9nAUvyUHfZ,Nariman Balich - Quslar Avada (feat. Asiye Saale) ,[Unknown Artist],[Unknown Album],0.35,LOW,YES,2/2,scripts/lyrics_crh_lt/Anthems of the Eastern Bloc and Yugoslavia - Anthem of the Crimean Autonomous SSR - Къызыл Аскер Маршы (Qızıl Asker Marşı).txt
crh_lt,Ivanka Chervinska - Dohtur Civanım,u0FkTKXV7iioToi3b2sD2T,Ankara Haytarma Band-Tım-tım,Ankara Haytarma Band,Ankara Haytarma Band,0.52,LOW,NO,,scripts/lyrics_crh_lt/Ivanka Chervinska - Dohtur Civanım.txt
crh_lt,Unknown - Yalvaram,TOTtQh1XLL1MHfjc6jn0Jm,Asan Umerov-Yalvaram,Asan Umerov,Asan Umerov,0.57,LOW,NO,,scripts/lyrics_crh_lt/Unknown - Yalvaram.txt
crh_lt,Lenara Osmanova - Biz,0YtFl8s28yFlKcUN3h1Zbx,Lenara Osmanova-Biz,Lenara Osmanova,Lenara Osmanova,1.07,HIGH,NO,,scripts/lyrics_crh_lt/Lenara Osmanova - Biz.txt
crh_lt,The Lion King (OST) - Мен азырым къырал олмагъа _ Men azırım qıral olmağa [I Just Can't Wait to be King],2j6wd9zwh1zYQ9pBIkpot5,"Cezair ve Rasim Kurtiyev-Toy olsun, bayram olsun (Crimean song)",Cezair,Cezair,0.36,LOW,NO,,scripts/lyrics_crh_lt/The Lion King (OST) - Мен азырым къырал олмагъа _ Men azırım qıral olmağa [I Just Can't Wait to be King].txt
crh_lt,Asiye Saale - Meni ğamdan azat eyle,qzWX9uMLVUpiiIq3eMWYIp,Asiye Saale-Meni ğamdan azat eyle,Asiye Saale,Asiye Saale,1.05,HIGH,NO,,scripts/lyrics_crh_lt/Asiye Saale - Meni ğamdan azat eyle.txt
crh_lt,Ediye Topçi - Baar kelse,vTXPFGpTpjGETQnNqaCdC6,Ediye Topçi-Baar kelse,Ediye Topçi,Ediye Topçi,0.93,HIGH,NO,,scripts/lyrics_crh_lt/Ediye Topçi - Baar kelse.txt
crh_lt,Unknown - Джанай,Rwoo3SmzBhkG2Rv0COdsYU,Yalçın Faik-Al qoyan canay,Yalçın Faik,Yalçın Faik,0.53,LOW,YES,1/2,scripts/lyrics_crh_lt/Unknown - Джанай.txt
qmusic,021 - Al qoyan canay çal qoyan canay,Rwoo3SmzBhkG2Rv0COdsYU,Yalçın Faik-Al qoyan canay,Yalçın Faik,Yalçın Faik,0.51,LOW,YES,2/2,scripts/lyrics_qmusic/021 - Al qoyan canay çal qoyan canay.txt
